season,season_id,division_id,competition_phase,game_id,gohoops_game_id,game_date,game_datetime_local,timezone,home_team_id,away_team_id,home_team,away_team,home_points,away_points,status,venue,periods
2025-26,2,9,regular_season,1459,8150,2026-03-14,2026-03-14 14:30:00,Asia/Taipei,3,6,福爾摩沙夢想家,新北中信特攻,100,91,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1460,8151,2026-03-14,2026-03-14 17:00:00,Asia/Taipei,4,2,新竹御嵿攻城獅,高雄全家海神,113,97,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1461,8152,2026-03-15,2026-03-15 14:30:00,Asia/Taipei,3,5,福爾摩沙夢想家,桃園台啤永豐雲豹,111,84,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1462,8153,2026-03-15,2026-03-15 17:00:00,Asia/Taipei,4,7,新竹御嵿攻城獅,新北國王,113,90,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1463,8154,2026-03-21,2026-03-21 14:30:00,Asia/Taipei,6,2,新北中信特攻,高雄全家海神,118,91,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1464,8155,2026-03-21,2026-03-21 17:00:00,Asia/Taipei,8,5,臺北台新戰神,桃園台啤永豐雲豹,73,99,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1465,8156,2026-03-22,2026-03-22 14:30:00,Asia/Taipei,6,4,新北中信特攻,新竹御嵿攻城獅,95,75,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1466,8157,2026-03-22,2026-03-22 17:00:00,Asia/Taipei,8,3,臺北台新戰神,福爾摩沙夢想家,96,118,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1467,8158,2026-03-25,2026-03-25 19:00:00,Asia/Taipei,3,2,福爾摩沙夢想家,高雄全家海神,96,90,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1468,8159,2026-03-27,2026-03-27 19:00:00,Asia/Taipei,3,7,福爾摩沙夢想家,新北國王,107,90,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1469,8160,2026-03-28,2026-03-28 14:30:00,Asia/Taipei,4,6,新竹御嵿攻城獅,新北中信特攻,103,99,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1470,8161,2026-03-28,2026-03-28 17:00:00,Asia/Taipei,8,2,臺北台新戰神,高雄全家海神,104,112,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1471,8162,2026-03-29,2026-03-29 14:30:00,Asia/Taipei,4,5,新竹御嵿攻城獅,桃園台啤永豐雲豹,102,91,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1472,8163,2026-03-29,2026-03-29 17:00:00,Asia/Taipei,8,7,臺北台新戰神,新北國王,102,116,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1473,8164,2026-04-01,2026-04-01 19:00:00,Asia/Taipei,6,8,新北中信特攻,臺北台新戰神,89,91,COMPLETED,新莊體育館,4
